Indice,Property Class,Tax Year,Town Code,Type of Residence,Wall Material,Roof Material,Rooms,Bedrooms,Basement,Basement Finish,Central Heating,Central Air,Fireplaces,Attic Type,Half Baths,Design Plan,Cathedral Ceiling,Construction Quality,Site Desireability,Porch,Building Square Feet,Repair Condition,Number of Commercial Units,Sale Price,Multi Property Indicator,Full Baths,Age,Use,OHare Noise,Floodplain,Near Major Road,Location Factor,Garage indicator,Town and Neighborhood
9867,208,2018,25,2.0,3.0,1.0,10.0,5.0,3.0,3.0,1.0,1.0,0.0,3.0,1.0,2.0,2.0,2.0,2.0,3,369.01,2.0,0.0,852500.0,0,3.0,50,1,0.0,0.0,0.0,1.355917653688693,1.0,2552
54655,205,2019,73,2.0,2.0,2.0,9.0,4.0,1.0,1.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,2.0,2.0,1,201.6,2.0,0.0,900000.0,0,3.0,115,1,0.0,0.0,0.0,2.27250299307108,1.0,7384
13399,299,2018,18,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,228500.0,0,1.0,8,1,0.0,0.0,0.0,1.205923584623328,1.0,1815
19528,278,2018,35,2.0,1.0,1.0,8.0,4.0,1.0,3.0,1.0,1.0,1.0,3.0,1.0,2.0,0.0,2.0,2.0,3,235.04,2.0,0.0,485000.0,0,2.0,28,1,0.0,0.0,0.0,0.771945875288102,1.0,3575
27960,234,2018,24,4.0,3.0,1.0,6.0,3.0,3.0,1.0,1.0,1.0,0.0,3.0,0.0,2.0,2.0,2.0,2.0,3,128.39,2.0,0.0,436500.0,0,2.0,61,1,0.0,0.0,0.0,1.200470935806726,0.0,24150
46297,206,2019,75,2.0,2.0,1.0,8.0,3.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3,216.19,2.0,0.0,400000.0,0,2.0,70,1,0.0,0.0,0.0,1.07426482199925,0.0,7521
21185,299,2018,16,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,129500.0,0,1.0,42,1,0.0,0.0,0.0,1.029360992918176,1.0,1610
40377,278,2019,18,2.0,1.0,1.0,8.0,4.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,0.0,2.0,2.0,3,270.25,2.0,0.0,351500.0,0,2.0,43,1,0.0,0.0,0.0,0.747456004631086,1.0,1850
47216,278,2019,71,2.0,3.0,1.0,7.0,4.0,1.0,1.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3,305.28,2.0,0.0,865000.0,0,3.0,1,1,1.0,0.0,0.0,1.21035059909253,1.0,71440
49631,205,2019,71,2.0,1.0,1.0,5.0,3.0,1.0,3.0,1.0,0.0,1.0,3.0,0.0,2.0,2.0,2.0,2.0,1,130.62,2.0,0.0,400000.0,0,1.0,110,1,0.0,0.0,0.0,1.3977025624914,1.0,7181
54070,299,2019,73,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,388750.0,0,1.0,113,1,0.0,0.0,0.0,1.31648925962636,1.0,7360
12357,299,2018,23,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,150000.0,0,1.0,43,1,0.0,0.0,1.0,2.893648190272231,1.0,23141
13435,299,2018,18,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,136000.0,0,1.0,19,1,0.0,0.0,0.0,1.120858176496357,1.0,1815
44087,241,2019,22,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,101000.0,0,1.0,10,1,0.0,0.0,1.0,1.15484940129309,1.0,22110
18165,299,2018,35,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,119000.0,0,1.0,36,1,0.0,0.0,0.0,0.522810496046171,1.0,35105
44588,299,2019,22,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,165300.0,0,1.0,51,1,0.0,0.0,1.0,1.09399628559283,1.0,22150
51684,203,2019,71,5.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1,137.5,2.0,0.0,373500.0,0,1.0,92,1,0.0,0.0,0.0,1.0565365311596,1.0,71260
8213,299,2018,38,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,222000.0,0,1.0,16,1,0.0,0.0,0.0,1.013173216648473,1.0,3872
733,299,2018,29,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,95312.0,0,1.0,33,1,0.0,1.0,1.0,0.652420525642979,1.0,2922
19822,278,2018,35,2.0,1.0,1.0,8.0,4.0,2.0,3.0,1.0,1.0,1.0,3.0,1.0,0.0,0.0,2.0,2.0,3,214.33,2.0,0.0,330000.0,0,2.0,40,1,0.0,0.0,0.0,0.711049565944311,1.0,3540
11003,299,2018,25,1.0,2.0,1.0,7.0,3.0,2.0,2.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,2.0,2.0,3,169.18,2.0,0.0,245000.0,0,1.0,33,1,0.0,0.0,1.0,1.758811617268272,1.0,25200
36273,295,2019,38,2.0,1.0,1.0,6.0,3.0,1.0,3.0,1.0,1.0,2.0,3.0,1.0,2.0,2.0,2.0,2.0,3,194.07,2.0,0.0,459865.0,0,2.0,1,1,0.0,0.0,0.0,0.717846902841266,1.0,3831
